asset,state,daily_stop_status,ohlc_available,ohlc_range_ok,ohlc_sane_rows,ohlc_outlier_rows,last_close,raw_ohlc_min,raw_ohlc_max,sane_ohlc_min,sane_ohlc_max,price_zone_exists,price_zone_scale_ok,trade_levels_scale_ok,projection_allowed,projection_status,chart_y_scale_mode,visual_status,error_reason,action_taken
ES,NOT_OPERABLE,STRONG_OK,True,True,160,0,7575.5,6353.25,7632.25,6353.25,7632.25,True,True,True,True,ENABLED,OHLC_PLUS_VALID_ZONE,OK,,render normally
NQ,NOT_OPERABLE,STRONG_OK,True,True,160,0,30626.5,22961.5,30807.75,22961.5,30807.75,True,True,True,True,ENABLED,OHLC_PLUS_VALID_ZONE,OK,,render normally
FDAX,NOT_OPERABLE,STRONG_OK,True,False,105,55,24794.0,4.711,25494.0,22057.0,25494.0,True,False,True,False,NOT_VALIDATED,OHLC_PLUS_VALID_ZONE,WARNING,55 OHLC rows out of scale | price zone out of scale or not validated,exclude OHLC outliers from operative y-axis | hide zone in operative view
RTY,NOT_OPERABLE,STRONG_OK,True,True,160,0,2890.4,2409.4,2952.0,2409.4,2952.0,True,True,True,True,ENABLED,OHLC_PLUS_VALID_ZONE,OK,,render normally
YM,NOT_OPERABLE,OK,True,True,160,0,50877.0,24482.75,51443.0,24482.75,51443.0,True,True,True,True,ENABLED,OHLC_PLUS_VALID_ZONE,OK,,render normally
GC,ACTIVE_SHORT,OK,True,False,112,48,4476.1,1.56,5049.4,4100.0,5049.4,True,True,True,True,ENABLED,ACTIVE_TRADE_OPERATIVE,WARNING,48 OHLC rows out of scale,exclude OHLC outliers from operative y-axis
CL,NOT_OPERABLE,OK,True,True,160,0,95.96,23.55,119.48,23.55,119.48,True,True,True,True,ENABLED,OHLC_PLUS_VALID_ZONE,OK,,render normally
SI,NOT_AVAILABLE,NOT_AVAILABLE,True,True,159,1,73.575,61.21,6639.0,61.21,121.785,True,True,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,1 OHLC rows out of scale | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | disable validated projection and operative levels
HG,NOT_AVAILABLE,NOT_AVAILABLE,True,False,131,29,6.4955,5.246,25443.0,5.246,6.716,True,True,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,29 OHLC rows out of scale | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | disable validated projection and operative levels
QG,NOT_AVAILABLE,NOT_AVAILABLE,True,False,111,49,3.23,2.56,24605.0,2.56,3.395,True,True,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,49 OHLC rows out of scale | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | disable validated projection and operative levels
SPX,NOT_AVAILABLE,NOT_AVAILABLE,True,False,103,57,7563.14,2.92,7620.9,2511.4,7620.9,True,False,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,57 OHLC rows out of scale | price zone out of scale or not validated | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | hide zone in operative view | disable validated projection and operative levels
VX,NOT_AVAILABLE,NOT_AVAILABLE,True,True,159,1,17.85,4.837,47052.0,4.837,29.3,True,False,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,1 OHLC rows out of scale | price zone out of scale or not validated | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | hide zone in operative view | disable validated projection and operative levels
US30Y,NOT_AVAILABLE,NOT_AVAILABLE,True,False,62,98,7609.77,4.819,25494.0,4100.0,7620.9,True,False,False,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,98 OHLC rows out of scale | price zone out of scale or not validated | state/daily stop NOT_AVAILABLE | trade levels out of scale,exclude OHLC outliers from operative y-axis | hide zone in operative view | disable validated projection and operative levels | move levels to out-of-scale/reference
PLG,NOT_AVAILABLE,NOT_AVAILABLE,True,False,107,53,1.669,1.56,117.63,1.56,2.005,True,False,True,False,DISABLED,NOT_AVAILABLE_OHLC_ONLY,NOT_AVAILABLE_MODE,53 OHLC rows out of scale | price zone out of scale or not validated | state/daily stop NOT_AVAILABLE,exclude OHLC outliers from operative y-axis | hide zone in operative view | disable validated projection and operative levels
